id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1967,572400928525066240,778413176,0,0,3,0,0,0,0,0,132,18,0,1,1,0,60.28,6282,6856,73,1772,33612,160,920,1,1,0,0,36.53,0.92,1.09,11,1,0.5000
1969,572400971294232576,14221917,0,0,34,0,0,0,0,0,77,9,0,0,1,0,72.88,100696,1404,1710,233,72595,145,2533,1,0,0,1,28.66,71.72,0.01,9,1,0.5063
1970,572400890696503296,35944110,0,0,1,0,0,0,0,0,93,18,0,0,1,0,45.31,1645,398,150,1,38368,56,2135,1,0,0,0,17.97,4.13,0.24,9,1,0.5063
1974,572400904483172352,1664939335,0,0,1,0,0,0,0,0,136,20,1,0,1,0,56.21,1401,560,83,22,623934,129,567,1,0,0,0,1100.41,2.50,0.40,8,1,0.3987
1976,572400999786156033,18393293,0,0,41,0,0,0,0,0,136,21,1,1,1,0,49.62,15086,12380,220,1707,46505,158,2257,1,0,0,0,20.60,1.22,0.82,10,1,0.4810
1994,572401081017241600,627845910,0,0,1,0,0,0,0,0,136,16,2,0,1,0,44.79,4598,1029,262,15,84691,160,970,1,0,0,0,87.31,4.47,0.22,10,1,0.4810
1996,572401059013906433,888144919,0,0,2,0,0,0,0,0,136,18,0,0,1,0,42.42,296,113,11,9,4200,87,866,1,0,0,0,4.85,2.62,0.38,9,1,0.5063
1997,572401080195129344,627845910,0,0,2,0,0,0,0,0,136,18,2,0,1,0,44.79,4598,1029,262,15,84690,160,970,1,0,0,0,87.31,4.47,0.22,10,1,0.4810
2000,572401083747868674,40628591,0,0,13,0,0,0,0,0,137,18,1,0,1,0,55.79,56447,7142,34,7011,51807,74,2115,1,0,0,0,24.50,7.90,0.13,14,1,0.4810
2003,572401085450567681,19639727,0,0,2,0,0,0,0,0,136,15,2,0,1,0,57.33,1963,1926,246,316,62166,148,2224,1,0,0,0,27.95,1.02,0.98,9,1,0.5063
2004,572401100269068288,822288074,0,0,2,0,0,0,1,0,98,10,1,0,1,1,48.15,376,82,4,58,7975,155,900,0,0,0,0,8.86,4.59,0.22,8,1,0.3987
2010,572401164991401984,1376485836,0,0,2,0,0,0,0,0,135,20,0,0,1,0,46.13,1202,1991,15,0,8020,115,677,0,1,0,0,11.85,0.60,1.66,14,1,0.4810
2011,572401168153882624,381652598,0,0,1,0,0,0,0,0,124,20,1,0,1,0,59.45,458,354,30,114,78722,100,1251,1,0,0,0,62.93,1.29,0.77,17,1,0.4557
2015,572401184180346884,337744595,0,0,6,0,0,0,0,0,114,16,0,0,1,0,45.50,4136,185,26,710,11166,139,1323,1,0,0,0,8.44,22.36,0.04,14,1,0.4810
2016,572401046556942336,351850150,0,1,0,0,0,0,0,0,106,17,2,0,1,0,48.32,68775,12506,88,2,27993,111,1301,0,0,0,0,21.52,5.50,0.18,9,1,0.5063
2021,572401206573867008,166981731,0,0,2,0,0,0,0,0,67,9,0,0,1,0,44.02,1745,178,42,2,7312,140,1691,1,0,0,0,4.32,9.80,0.10,14,1,0.4810
2027,572401071341088768,997820396,0,1,0,0,0,0,0,0,80,12,0,0,1,0,16.99,8,0,0,0,178036,0,814,0,1,0,0,218.72,8.00,0.00,14,1,0.4810
2030,572401231932616704,347446390,0,0,8,0,0,0,0,0,103,18,1,0,1,0,51.35,97058,17,268,1,429066,45,1308,1,0,0,0,328.03,5709.29,0.00,11,1,0.5000
2031,572401226966425602,295460269,0,0,1,0,0,0,0,0,130,18,0,1,1,0,55.21,2084,1888,75,0,192847,160,1394,1,0,0,0,138.34,1.10,0.91,9,1,0.5063
2037,572401248235737089,378728887,0,0,3,0,0,0,1,0,90,9,0,0,1,1,52.21,2866,2546,25,158,20552,114,1256,1,0,0,0,16.36,1.13,0.89,14,1,0.4810
